자치구,신고건수전체,신고성별남성,신고성별여성,신고성별불상,긴급신고,중요신고,일반신고,민원신고,기타신고,주간,야간,평일,주말
강남구,233801,119949,62524,51328,2917,57048,130418,15784,27634,103211,130590,170021,63780
강동구,99792,51684,28328,19780,1461,27078,54984,5828,10441,41389,58403,69297,30495
강북구,89949,46063,27281,16605,1113,21906,53087,5164,8679,37160,52789,60965,28984
강서구,137844,68104,39139,30601,1294,34413,76789,9054,16294,58680,79164,97472,40372
관악구,129417,65367,34441,29608,1739,33735,69945,8620,15378,52590,76827,89644,39773
광진구,106633,53863,27858,24912,1319,28598,62271,5885,8560,43638,62995,73103,33530
구로구,97768,50782,27762,19224,1153,26209,53018,6502,10886,41645,56123,68248,29520
금천구,72947,39413,20415,13118,998,19906,40490,4678,6875,31964,40983,51588,21359
노원구,105135,52428,29333,23374,1025,27155,58484,6453,12018,45706,59429,72975,32160
도봉구,65508,33182,19298,13028,824,17390,37467,4049,5778,27895,37613,44917,20591
동대문구,98683,51841,27541,19301,929,23418,58132,5759,10445,45331,53352,69124,29559
동작구,83716,42442,24523,16751,1228,23852,44492,5712,8432,36137,47579,59270,24446
마포구,129036,66892,33639,28505,1874,32881,76504,7292,10485,48924,80112,85126,43910
서대문구,74888,36163,21586,17139,853,17431,42264,5995,8345,33842,41046,53480,21408
서초구,138244,70644,37675,29924,1613,35765,74944,8756,17166,66502,71742,100304,37940
성동구,76289,41776,19800,14713,494,19949,44287,4320,7239,33596,42693,54119,22170
성북구,48340,24816,13825,9699,683,11948,27744,3204,4761,20850,27490,33952,14388
송파구,151671,78221,43105,30345,1296,39815,85414,9876,15270,66288,85383,107542,44129
양천구,92121,42441,30041,19639,1081,21028,47629,5533,16850,42568,49553,64709,27412
영등포구,182034,95054,48495,38485,2425,47109,101066,11987,19447,78822,103212,127105,54929
용산구,89522,44229,24794,20499,1086,20430,50277,4945,12784,38831,50691,58373,31149
은평구,52284,24949,16053,11282,407,13189,30366,3688,4634,21991,30293,36016,16268
종로구,102309,55075,27484,19749,1373,25844,58593,6302,10197,48789,53520,70473,31836
중구,85672,47064,22116,16492,771,18958,50193,7506,8244,40551,45121,61335,24337
중랑구,101339,52589,30060,18690,1148,24990,57582,5656,11963,42578,58761,69788,31551
