자치구,인구,면적,인구밀도
종로구,152211,23.91,6365
중구,130785,9.96,13131
용산구,233284,21.87,10668
성동구,288234,16.82,17136
광진구,351252,17.06,20586
동대문구,353601,14.22,24873
중랑구,390140,18.5,21092
성북구,441984,24.58,17983
강북구,297702,23.6,12614
도봉구,313989,20.65,15205
노원구,508014,35.44,14335
은평구,470602,29.71,15838
서대문구,319554,17.63,18129
마포구,375585,23.85,15745
양천구,444010,17.41,25509
강서구,574638,41.45,13862
구로구,418418,20.12,20794
금천구,242818,13.02,18649
영등포구,398085,24.55,16215
동작구,390432,16.36,23870
관악구,501226,29.57,16951
서초구,408451,46.97,8696
강남구,534103,39.5,13522
송파구,664514,33.88,19616
강동구,464037,24.59,18871
